Name,Kategorie,Adresse,Beschreibung,Distanz Christliche Kirche (Altendorf),Distanz Hindu Venue (Seegräben),Distanz Reception (Schlieren),WLAN,Parking,Breakfast,Restaurant,Bar,Fitness,Sauna,AC,24h-Reception,
Hotel Tivoli,Günstig,"Zürcherstrasse 26, 8952 Schlieren","Neu renoviertes Mittelklassehotel in Schlieren, ideal für Geschäfts- und Privatreisende. Persönlich geführt mit 60 Zimmern.",25 km,30 km,1 km,Ja,Ja (gratis),Ja,Nein,Ja,Nein,Nein,Nein,Ja,
ibis Zürich City-West,Günstig,"Schiffbaustrasse 11, 8005 Zürich","Modernes Budget-Hotel nahe Technopark, 10 Min. nach Schlieren. Klimatisierte Zimmer mit 24h-Bar.",22 km,27 km,8 km,Ja,Ja (Gebühr),Ja,Ja,Ja,Nein,Nein,Ja,Ja,
easy Hotel Zürich,Günstig,"Leonhardstrasse 2, 8001 Zürich","Zentral gelegenes Budget-Hotel mit einfachen, komfortablen Zimmern. Viele Restaurants in der Nähe.",24 km,29 km,10 km,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,
Jugendherberge Rapperswil-Jona,Günstig,"Seegubel 5, 8640 Rapperswil","Moderne Jugendherberge mit Einzel- bis Mehrbettzimmern, Garten und Terrasse. 5 Min. von Altendorf.",5 km,10 km,33 km,Ja,Ja (gratis),Ja,Ja,Nein,Nein,Nein,Nein,Ja,
Hotel Neufeld,Günstig,"Friesenbergstrasse 15, 8055 Zürich","Hotel in Zürich-Wiedikon, 10 Min. mit Tram ins Zentrum. Restaurant mit Terrasse, gutes Frühstücksbuffet.",26 km,31 km,12 km,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,
ibis Zürich-Adliswil,Günstig,"Soodstrasse 55b, 8134 Adliswil","Modernes Budget-Hotel mit Grillrestaurant, 30 Min. von Zürich. Gute Autobahnanbindung.",23 km,28 km,15 km,Ja,Ja (gratis),Ja,Ja,Nein,Nein,Nein,Nein,Ja,
Hotel Kronenhof,Günstig,"Wehntalerstrasse 551, 8046 Zürich","Boutique-Hotel im 60er-Jahre Stil in Zürich-Nord. Liebevoll eingerichtet, charmant.",30 km,35 km,14 km,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Ja,
Hotel Olympia,Günstig,"Badenerstrasse 324, 8004 Zürich","Einfaches Budget-Hotel, 3 km von Bahnhofstrasse. Stadtblick, 24h-Rezeption.",24 km,29 km,11 km,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,
Hotel Restaurant Schiff,Mittel,"Seedammstrasse 23, 8808 Pfäffikon","Am Zürichsee mit 30 individuell gestalteten Zimmern. Bekannte Fischküche, Seerosenbar, Hüsler Nest Betten.",6 km,9 km,32 km,Ja,Ja (gratis),Ja,Ja,Ja,Nein,Nein,Nein,Ja,
Sorell Hotel Speer,Mittel,"Untere Bahnhofstrasse 5, 8640 Rapperswil","Im historischen Zentrum von Rapperswil, 5 Min. von Altendorf. Asiatisches Restaurant, Wellness mit Sauna.",5 km,10 km,33 km,Ja,Ja (Gebühr),Ja,Ja,Nein,Nein,Ja,Nein,Ja,
Hotel Garni Seehof,Mittel,"Churerstr. 64, 8852 Altendorf","Direkt in Altendorf zwischen See und Bergen. Familiär geführt, perfekt für christliche Zeremonie.",0.5 km,8 km,25 km,Ja,Ja (gratis),Ja,Nein,Nein,Nein,Nein,Nein,Ja,
Moxy Rapperswil,Mittel,"Neue Jonastrasse 66, 8640 Rapperswil","Modernes Lifestyle-Hotel mit 90 Zimmern, 24/7 Bar, Fitness. Stylisch und zentral in Rapperswil.",5 km,10 km,33 km,Ja,Ja (Gebühr),Ja (Gebühr),Nein,Ja,Ja,Nein,Nein,Ja,
Hotel Marina Lachen,Mittel,"Seedammstrasse 1, 8853 Lachen","Direkt am Zürichsee mit 2 Restaurants und Bar-Lounge. Elegante Zimmer mit Klimaanlage, Seeblick.",3 km,11 km,30 km,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,
Hotel & Restaurant Jakob,Mittel,"Knie-Platz 1, 8640 Rapperswil","In der autofreien Altstadt Rapperswil, 2 Min. vom Bahnhof. Freundliches Personal, historischer Charme.",5 km,10 km,33 km,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Ja,
Hotel Drei Könige,Mittel,"Hauptstrasse 64, 8840 Einsiedeln","Traditionelles Hotel nahe Kloster Einsiedeln, ca. 20 Min. von Pfäffikon. Schweizer Gastfreundschaft.",17 km,21 km,44 km,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,
Hotel Seedamm Plaza,Mittel,"Seedammstrasse 3, 8808 Pfäffikon","4-Sterne Hotel am Zürichsee mit 142 Zimmern, Casino, mehrere Restaurants. Sauna und Fitnesscenter.",6 km,9 km,32 km,Ja,Ja (gratis),Ja,Ja,Ja,Ja,Ja,Ja,Ja,
